1,7,565.98
1,19,160.62
1,29,791.0
1,44,348.67
1,111,278.57
1,112,123.03
1,121,286.8
1,124,411.67
1,188,140.99
1,212,104.86
2,4,327.62
2,11,172.11
2,17,133.37
2,79,222.15
2,184,134.21
2,234,202.9
2,369,409.65
3,21,206.44
3,23,279.23
3,59,201.66
3,91,242.82
3,92,207.59
3,232,176.97
3,242,327.42
4,2,290.06
4,6,132.97
4,11,145.38
4,14,316.47
4,50,201.58
4,239,133.85
4,347,174.04
4,369,547.62
5,28,345.02
5,59,134.34
5,92,275.81
5,204,157.51
5,205,230.55
5,245,198.55
6,4,141.92
6,9,294.64
6,11,244.15
6,180,200.56
6,182,102.66
6,226,234.39
6,237,183.64
6,239,113.99
7,1,484.86
7,8,322.39
7,10,173.67
7,19,254.63
7,20,148.25
7,56,181.89
7,66,334.98
7,105,114.99
7,122,225.02
7,123,289.76
7,124,284.87
7,151,190.12
7,154,319.04
7,168,123.31
7,186,230.12
7,203,392.15
7,219,225.89
7,222,210.99
7,223,213.11
8,7,300.52
8,45,93.93
8,154,190.44
8,186,187.58
8,223,96.85
9,6,276.62
9,43,116.32
9,134,113.8
9,147,85.01
9,191,148.14
9,218,165.71
9,226,121.12
9,230,148.42
9,237,180.6
10,7,231.68
10,20,166.99
10,206,218.69
10,222,111.05
10,228,228.14
10,230,215.53
10,245,135.78
10,248,151.8
11,2,177.05
11,4,117.45
11,6,115.96
11,51,99.66
11,184,90.62
11,237,88.71
12,253,225.47
12,258,169.35
12,259,358.63
13,261,520.07
13,277,200.9
13,279,407.92
13,324,358.0
13,328,155.02
14,4,255.64
14,38,222.29
14,50,105.64
14,71,204.93
14,180,217.1
14,271,98.31
14,345,175.32
14,347,234.43
14,348,90.22
15,16,81.09
15,236,244.69
15,353,192.05
15,355,60.89
15,356,227.36
15,368,184.92
16,15,91.56
16,86,291.58
16,355,90.76
16,364,172.2
16,365,176.42
16,367,156.45
16,368,169.94
17,2,193.91
17,79,93.09
17,234,162.03
17,370,119.84
18,25,141.74
18,544,166.66
19,1,753.41
19,7,314.99
19,20,252.75
19,29,211.79
19,103,307.82
20,7,139.14
20,10,303.48
20,19,146.66
20,28,93.37
20,103,119.69
20,244,158.73
20,245,180.96
20,431,149.02
20,436,186.73
20,437,90.84
20,444,118.07
20,472,116.39
20,513,211.79
20,546,207.16
21,3,299.68
21,23,208.58
21,91,421.28
21,92,146.85
21,483,323.61
21,494,76.33
21,514,168.68
21,518,246.92
22,530,145.36
22,557,386.48
23,3,444.77
23,21,234.34
23,26,144.93
23,91,153.58
23,477,228.01
23,494,184.41
23,537,49.14
23,542,144.73
23,556,349.47
24,26,315.38
24,269,159.99
24,422,23091.29
24,539,209.98
24,556,100430.73
25,18,79.56
25,207,109.75
25,379,161.81
25,415,157.58
25,453,190.92
25,454,371.28
25,524,172.05
25,544,132.03
26,23,100.7
